Tag,Path,Mode,Methods,Description
DB_Analysis Results,/DB/LCOM-CONC,,"GET, POST, PUT, DELETE","Delete Db Lcom Conc"
DB_Analysis Results,/DB/LCOM-CONC/{id},,"GET, POST, PUT, DELETE","Delete Db Lcom Conc Key"
DB_Analysis Results,/DB/LCOM-FDN,,"GET, POST, PUT, DELETE","Delete Db Lcom Fdn"
DB_Analysis Results,/DB/LCOM-FDN/{id},,"GET, POST, PUT, DELETE","Delete Db Lcom Fdn Key"
DB_Analysis Results,/DB/LCOM-GEN,,"GET, POST, PUT, DELETE","Delete Db Lcom Gen"
DB_Analysis Results,/DB/LCOM-GEN/{id},,"GET, POST, PUT, DELETE","Delete Db Lcom Gen Key"
DB_Analysis Results,/DB/LCOM-LINEAR,,"GET, POST, PUT, DELETE","Delete Db Lcom Linear"
DB_Analysis Results,/DB/LCOM-LINEAR/{id},,"GET, POST, PUT, DELETE","Delete Db Lcom Linear Key"
DB_Analysis Results,/DB/LCOM-SEISMIC,,"GET, POST, PUT, DELETE","Delete Db Lcom Seismic"
DB_Analysis Results,/DB/LCOM-SEISMIC/{id},,"GET, POST, PUT, DELETE","Delete Db Lcom Seismic Key"
DB_Analysis Results,/DB/LCOM-SRC,,"GET, POST, PUT, DELETE","Delete Db Lcom Src"
DB_Analysis Results,/DB/LCOM-SRC/{id},,"GET, POST, PUT, DELETE","Delete Db Lcom Src Key"
DB_Analysis Results,/DB/LCOM-STEEL,,"GET, POST, PUT, DELETE","Delete Db Lcom Steel"
DB_Analysis Results,/DB/LCOM-STEEL/{id},,"GET, POST, PUT, DELETE","Delete Db Lcom Steel Key"
DB_Analysis Results,/DB/LCOM-STLCOMP,,"GET, POST, PUT, DELETE","Delete Db Lcom Stlcomp"
DB_Analysis Results,/DB/LCOM-STLCOMP/{id},,"GET, POST, PUT, DELETE","Delete Db Lcom Stlcomp Key"
DB_Project,/DB/LDGR,,"GET, POST, PUT, DELETE","Delete Db Ldgr"
DB_Project,/DB/LDGR/{id},,"GET, POST, PUT, DELETE","Delete Db Ldgr Key"
DB_Miscellaneous Loads,/DB/LDSQ,,"GET, POST, PUT, DELETE","Delete Db Ldsq"
DB_Miscellaneous Loads,/DB/LDSQ/{id},,"GET, POST, PUT, DELETE","Delete Db Ldsq Key"
DB_Design,/DB/LENG,,"GET, POST, PUT, DELETE","Delete Db Leng"
DB_Design,/DB/LENG/{id},,"GET, POST, PUT, DELETE","Delete Db Leng Key"
DB_Moving Loads,/DB/LLAN,,"GET, POST, PUT, DELETE","Delete Db Llan"
DB_Moving Loads,/DB/LLAN/{id},,"GET, POST, PUT, DELETE","Delete Db Llan Key"
DB_Moving Loads,/DB/LLANCH,,"GET, POST, PUT, DELETE","Delete Db Llanch"
DB_Moving Loads,/DB/LLANCH/{id},,"GET, POST, PUT, DELETE","Delete Db Llanch Key"
DB_Moving Loads,/DB/LLANID,,"GET, POST, PUT, DELETE","Delete Db Llanid"
DB_Moving Loads,/DB/LLANID/{id},,"GET, POST, PUT, DELETE","Delete Db Llanid Key"
DB_Moving Loads,/DB/LLANJP,,"GET, POST, PUT, DELETE","Delete Db Llanjp"
DB_Moving Loads,/DB/LLANJP/{id},,"GET, POST, PUT, DELETE","Delete Db Llanjp Key"
DB_Moving Loads,/DB/LLANOP,,"GET, POST, PUT, DELETE","Delete Db Llanop"
DB_Moving Loads,/DB/LLANOP/{id},,"GET, POST, PUT, DELETE","Delete Db Llanop Key"
DB_Moving Loads,/DB/LLANTR,,"GET, POST, PUT, DELETE","Delete Db Llantr"
DB_Moving Loads,/DB/LLANTR/{id},,"GET, POST, PUT, DELETE","Delete Db Llantr Key"
DB_Static Loads,/DB/LTOM,,"GET, POST, PUT, DELETE","Delete Db Ltom"
DB_Static Loads,/DB/LTOM/{id},,"GET, POST, PUT, DELETE","Delete Db Ltom Key"
DB_Design,/DB/LTSR,,"GET, POST, PUT, DELETE","Delete Db Ltsr"
DB_Design,/DB/LTSR/{id},,"GET, POST, PUT, DELETE","Delete Db Ltsr Key"
DB_Node/Element,/DB/MADO,,"GET, POST, PUT, DELETE","Delete Db Mado"
DB_Node/Element,/DB/MADO/{id},,"GET, POST, PUT, DELETE","Delete Db Mado Key"
DB_Design,/DB/MATD,,"GET, PUT","Put Db Matd"
DB_Design,/DB/MATD/{id},,"GET, PUT","Put Db Matd Key"
DB_Properties,/DB/MATL,,"GET, POST, PUT, DELETE","Delete Db Matl"
DB_Properties,/DB/MATL/{id},,"GET, POST, PUT, DELETE","Delete Db Matl Key"
DB_Design,/DB/MBTP,,"GET, POST, PUT, DELETE","Delete Db Mbtp"
DB_Design,/DB/MBTP/{id},,"GET, POST, PUT, DELETE","Delete Db Mbtp Key"
DB_Boundary,/DB/MCON,,"GET, POST, PUT, DELETE","Delete Db Mcon"
DB_Boundary,/DB/MCON/{id},,"GET, POST, PUT, DELETE","Delete Db Mcon Key"
DB_Design,/DB/MDGN,,"GET, POST, PUT, DELETE","Delete Db Mdgn"
DB_Design,/DB/MDGN/{id},,"GET, POST, PUT, DELETE","Delete Db Mdgn Key"
DB_Design,/DB/MEMB,,"GET, POST, PUT, DELETE","Delete Db Memb"
DB_Design,/DB/MEMB/{id},,"GET, POST, PUT, DELETE","Delete Db Memb Key"
DB_Boundary,/DB/MLFC,,"GET, POST, PUT, DELETE","Delete Db Mlfc"
DB_Boundary,/DB/MLFC/{id},,"GET, POST, PUT, DELETE","Delete Db Mlfc Key"
DB_Moving Loads,/DB/MLSP,,"GET, POST, PUT, DELETE","Delete Db Mlsp"
DB_Moving Loads,/DB/MLSP/{id},,"GET, POST, PUT, DELETE","Delete Db Mlsp Key"
DB_Moving Loads,/DB/MLSR,,"GET, POST, PUT, DELETE","Delete Db Mlsr"
DB_Moving Loads,/DB/MLSR/{id},,"GET, POST, PUT, DELETE","Delete Db Mlsr Key"
DB_Design,/DB/MRFT,,"GET, POST, PUT, DELETE","Delete Db Mrft"
DB_Design,/DB/MRFT/{id},,"GET, POST, PUT, DELETE","Delete Db Mrft Key"
DB_Properties,/DB/MTCS,,"GET, POST, PUT, DELETE","Delete Db Mtcs"
DB_Properties,/DB/MTCS/{id},,"GET, POST, PUT, DELETE","Delete Db Mtcs Key"
DB_Moving Loads,/DB/MVCD,,"GET, POST, PUT, DELETE","Delete Db Mvcd"
DB_Moving Loads,/DB/MVCD/{id},,"GET, POST, PUT, DELETE","Delete Db Mvcd Key"
DB_Analysis,/DB/MVCT,,"GET, POST, PUT, DELETE","Delete Db Mvct"
DB_Analysis,/DB/MVCT/{id},,"GET, POST, PUT, DELETE","Delete Db Mvct Key"
DB_Analysis,/DB/MVCTBS,,"GET, POST, PUT, DELETE","Delete Db Mvctbs"
DB_Analysis,/DB/MVCTBS/{id},,"GET, POST, PUT, DELETE","Delete Db Mvctbs Key"
DB_Analysis,/DB/MVCTCH,,"GET, POST, PUT, DELETE","Delete Db Mvctch"
DB_Analysis,/DB/MVCTCH/{id},,"GET, POST, PUT, DELETE","Delete Db Mvctch Key"
DB_Analysis,/DB/MVCTID,,"GET, POST, PUT, DELETE","Delete Db Mvctid"
DB_Analysis,/DB/MVCTID/{id},,"GET, POST, PUT, DELETE","Delete Db Mvctid Key"
DB_Analysis,/DB/MVCTTR,,"GET, POST, PUT, DELETE","Delete Db Mvcttr"
DB_Analysis,/DB/MVCTTR/{id},,"GET, POST, PUT, DELETE","Delete Db Mvcttr Key"
