Tag,Path,Mode,Methods,Description
Description,/INFO/DB/MVLDID,,GET,Moving Load Cases - India
Description,/INFO/DB/MVLDJP,,GET,Description Mvldjp
Description,/INFO/DB/MVLDPL,,GET,Moving Load Cases - Poland
Description,/INFO/DB/MVLDTR,,GET,Moving Load Cases - Transverse
Description,/INFO/DB/NBOF,,GET,Nodal Body Force
Description,/INFO/DB/NLCT,,GET,Nonlinear Analysis Control Data
Description,/INFO/DB/NLLP,,GET,General Link Properties
Description,/INFO/DB/NLNK,,GET,General Link
Description,/INFO/DB/NMAS,,GET,Nodal Masses
Description,/INFO/DB/NODE,,GET,Node
Description,/INFO/DB/NPLN,,GET,Named Plane
Description,/INFO/DB/NSPR,,GET,Point Spring
Description,/INFO/DB/NTMP,,GET,Nodal Temperature
Description,/INFO/DB/NUCS,,GET,Description Nucs
Description,/INFO/DB/OFFS,,GET,Beam End Offsets
Description,/INFO/DB/PDEL,,GET,P-Delta Analysis Control
Description,/INFO/DB/PHGE,,GET,Assign Pushover Hinge Properties
Description,/INFO/DB/PHGT,,GET,Description Phgt
Description,/INFO/DB/PJCF,,GET,Project Information
Description,/INFO/DB/PLCB,,GET,Pre-composite Section
Description,/INFO/DB/PNLA,,GET,Assign Plane Loads
Description,/INFO/DB/PNLD,,GET,Define Plane Load Type
Description,/INFO/DB/POGD,,GET,Pushover Analysis Control Data
Description,/INFO/DB/POLC,,GET,Pushover Load Cases
Description,/INFO/DB/POSL,,GET,Parameter of Seismic Loads
Description,/INFO/DB/PRES,,GET,Assign Pressure Loads
Description,/INFO/DB/PRLS,,GET,Plate End Release
Description,/INFO/DB/PRST,,GET,Prestress Beam Loads
Description,/INFO/DB/PSLT,,GET,Define Pressure Load Type
Description,/INFO/DB/PSSF,,GET,Section Manager - Plate Stiffness Scale Factor
Description,/INFO/DB/PTNS,,GET,Pretension Loads
Description,/INFO/DB/PZEF,,GET,Panel Zone Effects
Description,/INFO/DB/RCHK,,GET,Rebar Input for Checking - Beam/Column
Description,/INFO/DB/RIGD,,GET,Rigid Link
Description,/INFO/DB/RPSC,,GET,Section Manager - Reinforcements
Description,/INFO/DB/SBCT,,GET,Description Sbct
Description,/INFO/DB/SBDO,,GET,Define Sub-Domain
Description,/INFO/DB/SDSP,,GET,Specified Displacements of Support
Description,/INFO/DB/SDST,,GET,Seismic Device - Steel Damper
Description,/INFO/DB/SDVE,,GET,Seismic Device - Viscoelastic Damper
Description,/INFO/DB/SDVI,,GET,Seismic Device - Viscous Damper/Oil Damper
Description,/INFO/DB/SECF,,GET,Section Manager - Stiffness
Description,/INFO/DB/SECP,,GET,Description Secp
Description,/INFO/DB/SECT,,GET,Section Properties - Tapered - Steel Girder
Description,/INFO/DB/SECV,,GET,Description Secv
Description,/INFO/DB/SGLD,,GET,Description Sgld
Description,/INFO/DB/SINF,,GET,Plate Element for Influence Surface
Description,/INFO/DB/SKEW,,GET,Node Local Axis
Description,/INFO/DB/SLAN,,GET,Traffic Surface Lanes
Description,/INFO/DB/SLANCH,,GET,Traffic Surface Lanes - China
Description,/INFO/DB/SLANOP,,GET,Traffic Surface Lanes - Moving Load Optimization
Description,/INFO/DB/SMCT,,GET,Settlement Analysis Control Data
Description,/INFO/DB/SMLC,,GET,Settlement Load Cases
Description,/INFO/DB/SMPT,,GET,Settlement Group
Description,/INFO/DB/SPAN,,GET,Span Information
Description,/INFO/DB/SPFC,,GET,Response Spectrum Functions - Other Countries
Description,/INFO/DB/SPLC,,GET,Response Spectrum Load Cases
Description,/INFO/DB/SSPS,,GET,Surface Spring
Description,/INFO/DB/STAG,,GET,Define Construction Stage
Description,/INFO/DB/STBK,,GET,Set-Back Loads for Nonlinear Construction Stage
Description,/INFO/DB/STCT,,GET,Construction Stage Analysis Control Data
Description,/INFO/DB/STLD,,GET,Static Load Cases
Description,/INFO/DB/STMP,,GET,System Temperature
Description,/INFO/DB/STRPSSM,,GET,Section Manager - Stress Points
Description,/INFO/DB/STYP,,GET,Structure Type
Description,/INFO/DB/TDCS,,GET,Tendon Location for Composite Section
Description,/INFO/DB/TDGR,,GET,Tendon Group
Description,/INFO/DB/TDME,,GET,Time Dependent Material Properties - Compressive Strength
